name,article_quality,country,Population (millions),region,revision_id
Shahjahan Noori,GA,Afghanistan,41.1,SOUTH ASIA,1099689043
Abdul Ghafar Lakanwal,Start,Afghanistan,41.1,SOUTH ASIA,943562276
Majah Ha Adrif,Start,Afghanistan,41.1,SOUTH ASIA,852404094
Haroon al-Afghani,B,Afghanistan,41.1,SOUTH ASIA,1095102390
Tayyab Agha,Start,Afghanistan,41.1,SOUTH ASIA,1104998382
Ahmadullah Wasiq,Start,Afghanistan,41.1,SOUTH ASIA,1109361754
Aziza Ahmadyar,Start,Afghanistan,41.1,SOUTH ASIA,1087211008
Muqadasa Ahmadzai,Start,Afghanistan,41.1,SOUTH ASIA,1082489593
Mohammad Sarwar Ahmedzai,Start,Afghanistan,41.1,SOUTH ASIA,1038918070
Amir Muhammad Akhundzada,Start,Afghanistan,41.1,SOUTH ASIA,1069322182
Nasrullah Baryalai Arsalai,Start,Afghanistan,41.1,SOUTH ASIA,1095526840
Mohammad Asim Asim,Stub,Afghanistan,41.1,SOUTH ASIA,1013838830
Atiqullah Atifmal,Start,Afghanistan,41.1,SOUTH ASIA,1112407669
Abdul Rahim Ayoubi,Start,Afghanistan,41.1,SOUTH ASIA,1108886061
Alhaj Mutalib Baig,Start,Afghanistan,41.1,SOUTH ASIA,1111494041
Ismael Balkhi,Start,Afghanistan,41.1,SOUTH ASIA,1112534409
Abdul Baqi Turkistani,Stub,Afghanistan,41.1,SOUTH ASIA,889226470
Mohammad Ghous Bashiri,Start,Afghanistan,41.1,SOUTH ASIA,1102150221
Abas Basir,C,Afghanistan,41.1,SOUTH ASIA,1098419766
Jan Baz,Stub,Afghanistan,41.1,SOUTH ASIA,997027082
Ahmad Behzad,Start,Afghanistan,41.1,SOUTH ASIA,1103948295
Bashir Ahmad Bezan,Start,Afghanistan,41.1,SOUTH ASIA,1060707209
Rafiullah Bidar,Stub,Afghanistan,41.1,SOUTH ASIA,977208323
Mohammad Siddiq Chakari,Stub,Afghanistan,41.1,SOUTH ASIA,1105913099
Cheragh Ali Cheragh,Start,Afghanistan,41.1,SOUTH ASIA,1087211968
Nasir Ahmad Durrani,Stub,Afghanistan,41.1,SOUTH ASIA,988838315
Elay Ershad,Stub,Afghanistan,41.1,SOUTH ASIA,1102489654
Muhammad Hashim Esmatullahi,Stub,Afghanistan,41.1,SOUTH ASIA,949986748
Ezatullah (Nangarhar),Stub,Afghanistan,41.1,SOUTH ASIA,947885788
Aimal Faizi,Stub,Afghanistan,41.1,SOUTH ASIA,1033383351
Mohammad Nasim Faqiri,Start,Afghanistan,41.1,SOUTH ASIA,1098051193
Mohammad Nazar Faqiri,Stub,Afghanistan,41.1,SOUTH ASIA,1095525798
Sharif Ghalib,B,Afghanistan,41.1,SOUTH ASIA,1041460606
Hashmat Ghani Ahmadzai,C,Afghanistan,41.1,SOUTH ASIA,1112933356
Abdul Ghani Ghani,Stub,Afghanistan,41.1,SOUTH ASIA,1072441893
Ashraf Ghani,B,Afghanistan,41.1,SOUTH ASIA,1113195582
Abdul Samad Ghaus,Stub,Afghanistan,41.1,SOUTH ASIA,1072271854
Ghulam Ghaus,Stub,Afghanistan,41.1,SOUTH ASIA,1109361872
Ghulam Muhammad Ghobar,Stub,Afghanistan,41.1,SOUTH ASIA,1108886395
Mohammad Gul (Helmand Council),Stub,Afghanistan,41.1,SOUTH ASIA,1092523687
Ghulam Haider Hamidi,Start,Afghanistan,41.1,SOUTH ASIA,1095018556
Rangina Hamidi,C,Afghanistan,41.1,SOUTH ASIA,1104280812
Abdul Malik Hamwar,Stub,Afghanistan,41.1,SOUTH ASIA,1100874645
Sayed Zafar Hashemi,Start,Afghanistan,41.1,SOUTH ASIA,1112804808
Qutbuddin Hilal,Start,Afghanistan,41.1,SOUTH ASIA,1104423275
Shahnaz Himmeti,Stub,Afghanistan,41.1,SOUTH ASIA,909966254
Anarkali Kaur Honaryar,Start,Afghanistan,41.1,SOUTH ASIA,1069574154
Mahboba Hoqomal,Stub,Afghanistan,41.1,SOUTH ASIA,1092518990
Musa Hotak,Start,Afghanistan,41.1,SOUTH ASIA,1094201417
Mirza Muhammad Ismail,C,Afghanistan,41.1,SOUTH ASIA,1073524466
Sayed Jalal,Start,Afghanistan,41.1,SOUTH ASIA,1078580238
Said Tayeb Jawad,C,Afghanistan,41.1,SOUTH ASIA,1093621927
Faizullah Kakar,C,Afghanistan,41.1,SOUTH ASIA,1108932917
Amin Karim,C,Afghanistan,41.1,SOUTH ASIA,1106333491
Sayed Jalal Karim,Start,Afghanistan,41.1,SOUTH ASIA,1060701067
Ahmed Wali Karzai,GA,Afghanistan,41.1,SOUTH ASIA,1090245979
Khadija Zahra Ahmadi,Stub,Afghanistan,41.1,SOUTH ASIA,1115331693
Hafizullah Shabaz Khail,Start,Afghanistan,41.1,SOUTH ASIA,1092416288
Rouh Gul Khairzad,Stub,Afghanistan,41.1,SOUTH ASIA,925562571
Masoud Khalili,GA,Afghanistan,41.1,SOUTH ASIA,1103105365
Mohammad Khan (athlete),Stub,Afghanistan,41.1,SOUTH ASIA,1070779097
Samoud Khan,Start,Afghanistan,41.1,SOUTH ASIA,1010948755
Farzana Kochai,Stub,Afghanistan,41.1,SOUTH ASIA,1079430136
Farida Kuchi,Start,Afghanistan,41.1,SOUTH ASIA,1109436134
Baran Khan Kudezai,Start,Afghanistan,41.1,SOUTH ASIA,1106151353
Azizullah Lodin,Start,Afghanistan,41.1,SOUTH ASIA,1102817004
Razaq Mamoon,Start,Afghanistan,41.1,SOUTH ASIA,1100189662
Fazel Ahmed Manawi,Stub,Afghanistan,41.1,SOUTH ASIA,1106464575
Moeen Marastial,Start,Afghanistan,41.1,SOUTH ASIA,1102907176
Ahmad Massoud,C,Afghanistan,41.1,SOUTH ASIA,1112608262
Ahmad Wali Massoud,Start,Afghanistan,41.1,SOUTH ASIA,1108236868
Mohammad Daud Miraki,C,Afghanistan,41.1,SOUTH ASIA,1112192884
Abdul Sattar Mirzakwal,Stub,Afghanistan,41.1,SOUTH ASIA,1044450376
Abdul Karim Misaq,Stub,Afghanistan,41.1,SOUTH ASIA,1052669338
Ali Mohammad (politician),Stub,Afghanistan,41.1,SOUTH ASIA,1050463798
Nasruddin Mohseni,Start,Afghanistan,41.1,SOUTH ASIA,1095044526
Davood Moradian,Stub,Afghanistan,41.1,SOUTH ASIA,1106284627
Zalmai Mujadidi,Start,Afghanistan,41.1,SOUTH ASIA,1104635001
Fazal Haq Mujahid,C,Afghanistan,41.1,SOUTH ASIA,1113267490
Rahmatullah Nabil,Start,Afghanistan,41.1,SOUTH ASIA,1112496538
Sardar Mohammad Nadir Naeem,Stub,Afghanistan,41.1,SOUTH ASIA,1038680015
Daoud Naji,Start,Afghanistan,41.1,SOUTH ASIA,1110983467
Gholam Rabani Nasher,Stub,Afghanistan,41.1,SOUTH ASIA,916899472
Muhammad Yunus Nawandish,C,Afghanistan,41.1,SOUTH ASIA,1111494390
Ali Maisam Nazary,Start,Afghanistan,41.1,SOUTH ASIA,1107279930
Ghulam Faroq Nijrabi,Stub,Afghanistan,41.1,SOUTH ASIA,1093612575
Zabih-U-llah Ghazi Noristani,Start,Afghanistan,41.1,SOUTH ASIA,1001786762
Mohammed Tahir Omar,Stub,Afghanistan,41.1,SOUTH ASIA,996093541
Nasrin Oryakhil,Start,Afghanistan,41.1,SOUTH ASIA,1097277701
Murad Quenili,Stub,Afghanistan,41.1,SOUTH ASIA,1093963498
Ghulam Mohammad Rigi,Stub,Afghanistan,41.1,SOUTH ASIA,918256992
Ghulam Hassan Safi,Stub,Afghanistan,41.1,SOUTH ASIA,987269301
Hanifa Safi,Stub,Afghanistan,41.1,SOUTH ASIA,994195074
Amrullah Saleh,FA,Afghanistan,41.1,SOUTH ASIA,1115022704
Mohammed Zia Salehi,Stub,Afghanistan,41.1,SOUTH ASIA,889806024
Abdul Majid Samim,Stub,Afghanistan,41.1,SOUTH ASIA,1098092701
Saber Sangar,Stub,Afghanistan,41.1,SOUTH ASIA,1019860497
Muhammad Arif Sarwari,Start,Afghanistan,41.1,SOUTH ASIA,1079170926
Sayed Nasim Mihanparast,Stub,Afghanistan,41.1,SOUTH ASIA,1115496635
Sayyid Husayn,Stub,Afghanistan,41.1,SOUTH ASIA,1095559301
Suhail Shaheen,Start,Afghanistan,41.1,SOUTH ASIA,1102910228
Mohammad Shakir Kargar,C,Afghanistan,41.1,SOUTH ASIA,1096574840
Baktash Siawash,Stub,Afghanistan,41.1,SOUTH ASIA,1111917754
Awtar Singh,Stub,Afghanistan,41.1,SOUTH ASIA,1115100619
Hasan Ali Sultani,Stub,Afghanistan,41.1,SOUTH ASIA,1060706902
Faramarz Tamanna,C,Afghanistan,41.1,SOUTH ASIA,1106885861
Mohammad Hashem Taufiqui,Start,Afghanistan,41.1,SOUTH ASIA,1021308429
Nur ul-Haq Ulumi,GA,Afghanistan,41.1,SOUTH ASIA,1107429109
Pacha Gul Wafadar,Stub,Afghanistan,41.1,SOUTH ASIA,1020846299
Wahidullah Waissi,C,Afghanistan,41.1,SOUTH ASIA,1111508295
Gul Ahmmad Yama,Start,Afghanistan,41.1,SOUTH ASIA,1060707715
Al-Haj Suliman Yari,Stub,Afghanistan,41.1,SOUTH ASIA,1092426408
Abdul Salam Zaeef,GA,Afghanistan,41.1,SOUTH ASIA,1106388504
Abdul Zahir (Konar Education Minister),Stub,Afghanistan,41.1,SOUTH ASIA,1097261199
Mohammed Zaman,Start,Afghanistan,41.1,SOUTH ASIA,1108389318
